Data;Balanço de Pagam, - Balança comercial - Exportações - US$ - Banco Central do Brasil- Balanço de Pagamentos (BPM6) (BCB / BP (BPM6)) - BPAG12_BCX12
2000.01;3487,650475
2000.02;4185,831858
2000.03;4463,114145
2000.04;4186,145237
2000.05;5089,367883
2000.06;4858,439081
2000.07;5077,953739
2000.08;5540,129935
2000.09;4711,999602
2000.1;4637,915911
2000.11;4391,042433
2000.12;4683,742566
2001.01;4539,540764
2001.02;4068,986148
2001.03;5174,087536
2001.04;4737,981043
2001.05;5352,273976
2001.06;5044,699762
2001.07;4966,393817
2001.08;5734,230483
2001.09;4768,935802
2001.1;5004,383126
2001.11;4511,958984
2001.12;4360,56958
2002.01;3998,87155
2002.02;3663,891817
2002.03;4271,626599
2002.04;4637,956517
2002.05;4433,330894
2002.06;4067,45376
2002.07;6223,855298
2002.08;5769,434735
2002.09;6506,549108
2002.1;6471,603856
2002.11;5123,010656
2002.12;5259,137245
2003.01;4807,966392
2003.02;5006,760475
2003.03;5239,146514
2003.04;5711,584413
2003.05;6392,537142
2003.06;5878,793168
2003.07;6104,708476
2003.08;6410,824268
2003.09;7275,979616
2003.1;7551,954865
2003.11;5988,185201
2003.12;6743,215545
2004.01;5823,436343
2004.02;5749,205238
2004.03;7922,372093
2004.04;6580,059414
2004.05;7942,824354
2004.06;9323,606832
2004.07;8983,391343
2004.08;9048,431285
2004.09;8906,530126
2004.1;8837,166754
2004.11;8146,817337
2004.12;9179,076647
2005.01;7453,719902
2005.02;7768,51576
2005.03;9234,611926
2005.04;9204,034717
2005.05;9808,823485
2005.06;10166,9005
2005.07;11054,13668
2005.08;11340,83808
2005.09;10628,79462
2005.1;9884,629795
2005.11;10727,61353
2005.12;10977,5209
2006.01;9313,975191
2006.02;8795,019707
2006.03;11400,82958
2006.04;9806,965648
2006.05;10277,81461
2006.06;11434,67054
2006.07;13609,73455
2006.08;13736,50379
2006.09;12546,62584
2006.1;12672,98415
2006.11;11954,77179
2006.12;12258,27814
2007.01;11013,64561
2007.02;10124,03621
2007.03;12913,23894
2007.04;12449,60231
2007.05;13651,27026
2007.06;13087,6753
2007.07;14125,49467
2007.08;15105,06878
2007.09;14150,55512
2007.1;15737,29685
2007.11;14070,18334
2007.12;14239,36944
2008.01;13320,80335
2008.02;12817,76784
2008.03;12633,29954
2008.04;14087,01816
2008.05;19333,67147
2008.06;18603,20748
2008.07;20500,06535
2008.08;19797,45564
2008.09;20023,63951
2008.1;18621,17559
2008.11;14732,62259
2008.12;13906,89841
2009.01;9865,029308
2009.02;9650,326593
2009.03;11870,86673
2009.04;12369,78914
2009.05;11995,9919
2009.06;14613,13376
2009.07;14212,71399
2009.08;13881,08344
2009.09;13873,54163
2009.1;14148,97364
2009.11;12627,07331
2009.12;14500,90066
2010.01;11260,81723
2010.02;12157,05364
2010.03;15675,041
2010.04;15112,7598
2010.05;17644,26844
2010.06;17038,96674
2010.07;17647,84037
2010.08;19190,04158
2010.09;18786,0598
2010.1;18331,1862
2010.11;17634,49584
2010.12;20845,57661
2011.01;15147,04531
2011.02;16670,46678
2011.03;19236,45104
2011.04;20103,80953
2011.05;23155,75626
2011.06;23668,6777
2011.07;22222,16115
2011.08;26116,70508
2011.09;23246,92197
2011.1;22076,28498
2011.11;21728,5187
2011.12;22133,02377
2012.01;16098,22214
2012.02;17991,89507
2012.03;20887,44049
2012.04;19536,20558
2012.05;23202,76033
2012.06;19325,25625
2012.07;20991,92113
2012.08;22328,98339
2012.09;19982,8115
2012.1;21777,68291
2012.11;20453,67998
2012.12;19706,38392
2013.01;15954,21454
2013.02;15517,00024
2013.03;19292,43969
2013.04;20599,12901
2013.05;21783,78948
2013.06;21089,48376
2013.07;20771,97052
2013.08;21366,90178
2013.09;20816,2643
2013.1;22771,62818
2013.11;20814,1186
2013.12;20800,34507
2014.01;15961,80677
2014.02;15841,65577
2014.03;17532,3993
2014.04;19632,9272
2014.05;20657,96717
2014.06;20374,13801
2014.07;22936,33069
2014.08;20373,91467
2014.09;19538,22306
2014.1;18227,03392
2014.11;15545,86441
2014.12;17349,04335
2015.01;13603,58204
2015.02;12010,74364
2015.03;16895,05558
2015.04;15054,38448
2015.05;16674,64971
2015.06;19583,16058
2015.07;18455,69708
2015.08;15360,06336
2015.09;16008,93987
2015.1;15902,57799
2015.11;13687,22782
2015.12;16677,8749
2016.01;11127,26364
2016.02;13272,58055
2016.03;15884,2374
2016.04;15270,272
2016.05;17471,55196
2016.06;16622,87459
2016.07;16223,01396
2016.08;16925,35921
2016.09;15744,19705
2016.1;13663,08626
2016.11;16156,51437
2016.12;15905,85371
2017.01;14879,89267
2017.02;15497,83683
2017.03;20107,2555
2017.04;17694,69757
2017.05;19809,86033
2017.06;19803,34811
2017.07;18786,49447
2017.08;19500,40304
2017.09;18690,60729
2017.1;18885,95488
2017.11;16715,3711
2017.12;17628,77178
2018.01;17062,63464
2018.02;17441,37382
2018.03;20273,24665
2018.04;19730,66288
2018.05;19343,41945
2018.06;20131,11262
2018.07;22545,53
2018.08;21568,26619
2018.09;19191,58323
2018.1;21911,87587
2018.11;20957,35366
2018.12;19365,31393
