Data;5783 - NFSP sem desvalorização cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado primário - Total - Governo Federal e Banco Central - %
jan/00;-1,97
fev/00;-2,01
mar/00;-2,14
abr/00;-2,22
mai/00;-2,47
jun/00;-2,26
jul/00;-1,95
ago/00;-2,07
set/00;-1,9
out/00;-1,69
nov/00;-1,82
dez/00;-1,7
jan/01;-1,81
fev/01;-1,69
mar/01;-1,58
abr/01;-1,91
mai/01;-1,95
jun/01;-1,92
jul/01;-1,98
ago/01;-1,79
set/01;-1,8
out/01;-2,04
nov/01;-1,94
dez/01;-1,67
jan/02;-1,99
fev/02;-2,06
mar/02;-1,93
abr/02;-1,85
mai/02;-1,68
jun/02;-1,68
jul/02;-1,72
ago/02;-1,63
set/02;-1,89
out/02;-2,04
nov/02;-2,06
dez/02;-2,14
jan/03;-2,1
fev/03;-2,24
mar/03;-2,28
abr/03;-2,54
mai/03;-2,61
jun/03;-2,53
jul/03;-2,58
ago/03;-2,63
set/03;-2,47
out/03;-2,46
nov/03;-2,47
dez/03;-2,26
jan/04;-2,26
fev/04;-2,26
mar/04;-2,38
abr/04;-2,2
mai/04;-2,25
jun/04;-2,46
jul/04;-2,47
ago/04;-2,5
set/04;-2,48
out/04;-2,5
nov/04;-2,48
dez/04;-2,68
jan/05;-2,72
fev/05;-2,56
mar/05;-2,6
abr/05;-2,9
mai/05;-2,76
jun/05;-2,77
jul/05;-2,83
ago/05;-2,84
set/05;-2,76
out/05;-2,77
nov/05;-2,65
dez/05;-2,57
jan/06;-2,31
fev/06;-2,34
mar/06;-2,25
abr/06;-2,33
mai/06;-2,35
jun/06;-2,37
jul/06;-2,26
ago/06;-2,36
set/06;-2,21
out/06;-2,25
nov/06;-2,21
dez/06;-2,13
jan/07;-2,46
fev/07;-2,41
mar/07;-2,31
abr/07;-2,23
mai/07;-2,29
jun/07;-2,21
jul/07;-2,24
ago/07;-2,07
set/07;-2,09
out/07;-2,15
nov/07;-2,31
dez/07;-2,19
jan/08;-2,34
fev/08;-2,37
mar/08;-2,6
abr/08;-2,64
mai/08;-2,6
jun/08;-2,62
jul/08;-2,68
ago/08;-2,77
set/08;-2,88
out/08;-2,99
nov/08;-2,7
dez/08;-2,29
jan/09;-1,9
fev/09;-1,79
mar/09;-1,62
abr/09;-1,42
mai/09;-1,25
jun/09;-0,99
jul/09;-0,8
ago/09;-0,69
set/09;-0,28
out/09;-0,18
nov/09;-0,6
dez/09;-1,27
jan/10;-1,52
fev/10;-1,45
mar/10;-1,15
abr/10;-1,3
mai/10;-1,25
jun/10;-1,28
jul/10;-1,24
ago/10;-1,21
set/10;-2,09
out/10;-1,96
nov/10;-1,7
dez/10;-2,03
jan/11;-2,01
fev/11;-2,07
mar/11;-2,39
abr/11;-2,33
mai/11;-2,44
jun/11;-2,63
jul/11;-2,85
ago/11;-2,79
set/11;-2,31
out/11;-2,39
nov/11;-2,44
dez/11;-2,13
jan/12;-2,25
fev/12;-2,3
mar/12;-2,23
abr/12;-2,13
mai/12;-2,05
jun/12;-1,87
jul/12;-1,7
ago/12;-1,66
set/12;-1,55
out/12;-1,5
nov/12;-1,27
dez/12;-1,79
jan/13;-1,89
fev/13;-1,62
mar/13;-1,48
abr/13;-1,38
mai/13;-1,44
jun/13;-1,42
jul/13;-1,4
ago/13;-1,37
set/13;-1,13
out/13;-1,03
nov/13;-1,68
dez/13;-1,41
jan/14;-1,15
fev/14;-1,21
mar/14;-1,23
abr/14;-1,4
mai/14;-1,1
jun/14;-1,02
jul/14;-0,91
ago/14;-0,7
set/14;-0,51
out/14;-0,5
nov/14;0,11
dez/14;0,35
jan/15;0,4
fev/15;0,45
mar/15;0,48
abr/15;0,58
mai/15;0,54
jun/15;0,64
jul/15;0,71
ago/15;0,62
set/15;0,38
out/15;0,67
nov/15;0,92
dez/15;1,95
jan/16;1,76
fev/16;2,08
mar/16;2,25
abr/16;2,28
mai/16;2,42
jun/16;2,43
jul/16;2,52
ago/16;2,75
set/16;3,06
out/16;2,23
nov/16;2,51
dez/16;2,54
jan/17;2,44
fev/17;2,47
mar/17;2,5
abr/17;2,46
mai/17;2,67
jun/17;2,8
jul/17;2,83
ago/17;2,63
set/17;2,55
out/17;3,06
nov/17;2,45
dez/17;1,8
jan/18;1,63
fev/18;1,48
mar/18;1,68
abr/18;1,76
mai/18;1,44
jun/18;1,36
jul/18;1,19
ago/18;1,34
set/18;1,36
out/18;1,28
nov/18;1,51
dez/18;1,66
Fonte;BCB-DSTAT
