Data;5720 - NFSP sem desvalorização cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governos estaduais e municipais - %
jan/00;2,65
fev/00;2,62
mar/00;2,54
abr/00;2,41
mai/00;2,33
jun/00;2,25
jul/00;2,22
ago/00;2,3
set/00;2,42
out/00;2,32
nov/00;2,1
dez/00;1,91
jan/01;1,81
fev/01;1,67
mar/01;1,66
abr/01;1,7
mai/01;1,89
jun/01;1,89
jul/01;1,96
ago/01;1,88
set/01;1,81
out/01;1,88
nov/01;2,01
dez/01;1,84
jan/02;1,9
fev/02;1,79
mar/02;1,79
abr/02;1,65
mai/02;1,55
jun/02;1,77
jul/02;1,98
ago/02;1,77
set/02;2,15
out/02;2,18
nov/02;2,46
dez/02;3,46
jan/03;3,58
fev/03;3,83
mar/03;3,95
abr/03;4,06
mai/03;3,95
jun/03;3,6
jul/03;3,23
ago/03;3,16
set/03;2,7
out/03;2,66
nov/03;2,36
dez/03;1,57
jan/04;1,43
fev/04;1,27
mar/04;1,24
abr/04;1,21
mai/04;1,35
jun/04;1,59
jul/04;1,71
ago/04;1,82
set/04;1,87
out/04;1,76
nov/04;1,71
dez/04;1,74
jan/05;1,57
fev/05;1,49
mar/05;1,37
abr/05;1,37
mai/05;1,18
jun/05;0,95
jul/05;0,76
ago/05;0,56
set/05;0,29
out/05;0,25
nov/05;0,24
dez/05;0,25
jan/06;0,27
fev/06;0,37
mar/06;0,29
abr/06;0,12
mai/06;0,13
jun/06;0,21
jul/06;0,32
ago/06;0,44
set/06;0,6
out/06;0,57
nov/06;0,59
dez/06;0,69
jan/07;0,68
fev/07;0,6
mar/07;0,57
abr/07;0,54
mai/07;0,48
jun/07;0,39
jul/07;0,3
ago/07;0,28
set/07;0,4
out/07;0,5
nov/07;0,51
dez/07;0,47
jan/08;0,63
fev/08;0,65
mar/08;0,7
abr/08;0,83
mai/08;0,93
jun/08;1,14
jul/08;1,32
ago/08;1,42
set/08;1,23
out/08;1,23
nov/08;1,24
dez/08;1,13
jan/09;0,95
fev/09;0,87
mar/09;0,82
abr/09;0,67
mai/09;0,55
jun/09;0,38
jul/09;0,19
ago/09;0,02
set/09;0,04
out/09;0
nov/09;-0,07
dez/09;-0,06
jan/10;-0,02
fev/10;0,08
mar/10;0,18
abr/10;0,29
mai/10;0,43
jun/10;0,6
jul/10;0,67
ago/10;0,74
set/10;0,85
out/10;0,93
nov/10;0,99
dez/10;1,23
jan/11;1,22
fev/11;1,18
mar/11;1,15
abr/11;1,17
mai/11;1,11
jun/11;0,91
jul/11;0,84
ago/11;0,78
set/11;0,73
out/11;0,7
nov/11;0,64
dez/11;0,46
jan/12;0,38
fev/12;0,3
mar/12;0,26
abr/12;0,25
mai/12;0,35
jun/12;0,51
jul/12;0,61
ago/12;0,79
set/12;0,88
out/12;0,89
nov/12;0,84
dez/12;0,88
jan/13;0,98
fev/13;1
mar/13;1,03
abr/13;0,99
mai/13;0,89
jun/13;0,76
jul/13;0,82
ago/13;0,73
set/13;0,63
out/13;0,71
nov/13;0,81
dez/13;0,82
jan/14;0,77
fev/14;0,75
mar/14;0,84
abr/14;1
mai/14;1,06
jun/14;1,04
jul/14;0,93
ago/14;0,9
set/14;0,96
out/14;0,87
nov/14;0,91
dez/14;1,12
jan/15;1,04
fev/15;1,08
mar/15;1,09
abr/15;1,03
mai/15;1,05
jun/15;1,13
jul/15;1,27
ago/15;1,36
set/15;1,34
out/15;1,45
nov/15;1,49
dez/15;1,49
jan/16;1,55
fev/16;1,67
mar/16;1,67
abr/16;1,63
mai/16;1,63
jun/16;1,64
jul/16;1,66
ago/16;1,61
set/16;1,62
out/16;1,52
nov/16;1,41
dez/16;1,25
jan/17;1,2
fev/17;1,07
mar/17;1,02
abr/17;1
mai/17;0,93
jun/17;0,86
jul/17;0,75
ago/17;0,7
set/17;0,65
out/17;0,65
nov/17;0,65
dez/17;0,71
jan/18;0,68
fev/18;0,71
mar/18;0,69
abr/18;0,74
mai/18;0,73
jun/18;0,75
jul/18;0,77
ago/18;0,85
set/18;0,87
out/18;0,88
nov/18;0,86
dez/18;0,85
Fonte;BCB-DSTAT
