Data;5786 - NFSP sem desvalorização cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado primário - Total - Governos estaduais e municipais - %
jan/00;-0,36
fev/00;-0,42
mar/00;-0,41
abr/00;-0,38
mai/00;-0,41
jun/00;-0,43
jul/00;-0,45
ago/00;-0,46
set/00;-0,43
out/00;-0,47
nov/00;-0,53
dez/00;-0,5
jan/01;-0,48
fev/01;-0,51
mar/01;-0,56
abr/01;-0,6
mai/01;-0,58
jun/01;-0,62
jul/01;-0,68
ago/01;-0,75
set/01;-0,75
out/01;-0,7
nov/01;-0,65
dez/01;-0,8
jan/02;-0,71
fev/02;-0,75
mar/02;-0,72
abr/02;-0,74
mai/02;-0,79
jun/02;-0,78
jul/02;-0,74
ago/02;-0,73
set/02;-0,75
out/02;-0,81
nov/02;-0,84
dez/02;-0,71
jan/03;-0,8
fev/03;-0,78
mar/03;-0,78
abr/03;-0,77
mai/03;-0,79
jun/03;-0,79
jul/03;-0,74
ago/03;-0,75
set/03;-0,76
out/03;-0,73
nov/03;-0,76
dez/03;-0,8
jan/04;-0,76
fev/04;-0,76
mar/04;-0,78
abr/04;-0,81
mai/04;-0,8
jun/04;-0,82
jul/04;-0,88
ago/04;-0,9
set/04;-0,93
out/04;-0,92
nov/04;-0,89
dez/04;-0,89
jan/05;-0,96
fev/05;-0,99
mar/05;-1
abr/05;-0,99
mai/05;-1,02
jun/05;-1,02
jul/05;-1
ago/05;-1,03
set/05;-1,01
out/05;-1,02
nov/05;-1,04
dez/05;-0,98
jan/06;-0,94
fev/06;-0,88
mar/06;-0,89
abr/06;-0,9
mai/06;-0,86
jun/06;-0,84
jul/06;-0,86
ago/06;-0,78
set/06;-0,78
out/06;-0,84
nov/06;-0,85
dez/06;-0,82
jan/07;-0,86
fev/07;-0,91
mar/07;-0,94
abr/07;-1
mai/07;-1,02
jun/07;-1,08
jul/07;-1,09
ago/07;-1,14
set/07;-1,1
out/07;-1,09
nov/07;-1,06
dez/07;-1,1
jan/08;-1,08
fev/08;-1,1
mar/08;-1,08
abr/08;-1,02
mai/08;-1,04
jun/08;-1,02
jul/08;-1,03
ago/08;-1,02
set/08;-1,01
out/08;-0,99
nov/08;-0,99
dez/08;-0,98
jan/09;-0,94
fev/09;-0,92
mar/09;-0,9
abr/09;-0,88
mai/09;-0,86
jun/09;-0,84
jul/09;-0,77
ago/09;-0,72
set/09;-0,72
out/09;-0,69
nov/09;-0,64
dez/09;-0,63
jan/10;-0,63
fev/10;-0,62
mar/10;-0,65
abr/10;-0,69
mai/10;-0,63
jun/10;-0,6
jul/10;-0,59
ago/10;-0,59
set/10;-0,58
out/10;-0,59
nov/10;-0,62
dez/10;-0,53
jan/11;-0,57
fev/11;-0,6
mar/11;-0,63
abr/11;-0,59
mai/11;-0,62
jun/11;-0,64
jul/11;-0,66
ago/11;-0,69
set/11;-0,69
out/11;-0,68
nov/11;-0,68
dez/11;-0,75
jan/12;-0,76
fev/12;-0,77
mar/12;-0,72
abr/12;-0,72
mai/12;-0,68
jun/12;-0,6
jul/12;-0,59
ago/12;-0,55
set/12;-0,53
out/12;-0,53
nov/12;-0,5
dez/12;-0,45
jan/13;-0,42
fev/13;-0,4
mar/13;-0,38
abr/13;-0,39
mai/13;-0,39
jun/13;-0,46
jul/13;-0,4
ago/13;-0,37
set/13;-0,38
out/13;-0,34
nov/13;-0,32
dez/13;-0,31
jan/14;-0,36
fev/14;-0,38
mar/14;-0,35
abr/14;-0,29
mai/14;-0,26
jun/14;-0,21
jul/14;-0,19
ago/14;-0,15
set/14;-0,07
out/14;-0,04
nov/14;0,01
dez/14;0,13
jan/15;0,08
fev/15;0,08
mar/15;0,11
abr/15;0,07
mai/15;0,04
jun/15;0,04
jul/15;0,05
ago/15;0,02
set/15;-0,04
out/15;-0,07
nov/15;-0,14
dez/15;-0,16
jan/16;-0,12
fev/16;-0,08
mar/16;-0,08
abr/16;-0,06
mai/16;-0,03
jun/16;-0,03
jul/16;-0,07
ago/16;-0,07
set/16;-0,05
out/16;-0,05
nov/16;-0,01
dez/16;-0,07
jan/17;-0,12
fev/17;-0,16
mar/17;-0,19
abr/17;-0,17
mai/17;-0,19
jun/17;-0,19
jul/17;-0,16
ago/17;-0,17
set/17;-0,19
out/17;-0,19
nov/17;-0,17
dez/17;-0,11
jan/18;-0,11
fev/18;-0,06
mar/18;-0,05
abr/18;0
mai/18;-0,02
jun/18;-0,03
jul/18;-0,04
ago/18;-0,08
set/18;-0,06
out/18;-0,01
nov/18;-0,05
dez/18;-0,05
Fonte;BCB-DSTAT
